title,link,description,content
"At least 10 mi­grants killed, 25 in­jured in Mex­i­co truck ac­ci­dent",https://www.aljazeera.com/news/2023/10/1/at-least-10-migrants-killed-25-injured-in-mexico-truck-accident,"Thou­sands of mi­grants from dif­fer­ent coun­tries trav­el across Mex­i­co in bus­es, trail­ers and freight trains to reach US.","At least 10 migrants have been killed and 25 others injured after a cargo truck clandestinely carrying them overturned on a highway in southern Mexico. The accident took place early on Sunday in the Mexican state of Chiapas near the border with Guatemala. A source in the prosecutor’s office who spoke on grounds of anonymity told AFP news agency the victims were apparently from Cuba and all were women, including one minor. The incident occurred on a stretch of highway along the Pacific coast between the towns of Pijijiapan and Tonala, where people often travel as they attempt to reach the United States. The truck, whose body was partially built of wood, was destroyed, with the migrants’ clothes, bags and backpacks strewn around it.  Thousands of migrants from different countries travel across Mexico in buses, trailers and freight trains as they head for the US. It was the second fatal crash in less than a week involving migrants in Mexico. On Thursday, two migrants died when a truck overturned in the municipality of Mezcalapa, also in Chiapas state. In August, at least 15 people were killed when a crowded bus carrying primarily Venezuelan migrants and asylum seekers collided with a trailer on a highway in Mexico that connects the states of Puebla and Oaxaca, a route known to be used by migrant smugglers. In July, another bus in Oaxaca plunged off a steep road, killing as many as27 people. Another 18 people were killed in a crash in April. And in February, migrants from Venezuela, Colombia, and Central America were involved in a bus crash, again between Oaxaca and Puebla, that left at least 17 dead. Crashes are just one of the many perils migrants and asylum seekers face as they journey north to the US-Mexico border, a common destination. Many must also confront dangerous jungle passages, criminal gangs, and the risk ofextended detention. "
"Ser­bia de­nies US, EU re­ports of mil­i­tary build-up along Koso­vo bor­der",https://www.aljazeera.com/news/2023/10/1/serbia-denies-us-eu-reports-of-military-build-up-along-kosovo-border,Pres­i­dent Alek­san­dar Vu­cic’s state­ment comes af­ter shootout kills four peo­ple and fu­els ten­sions in volatile Balka­ns.,"Serbia has denied reports of a military build-up along the border with Kosovo, alleging a “campaign of lies” against his country in the wake of a shootout a week earlier that killed four people and fuelled tensions in the volatile Balkan region. “A campaign of lies … has been launched against our Serbia,” Serbian President Aleksandar Vucic said in a video posted on Instagram on Sunday. “They have lied a lot about the presence of our military forces …. In fact, they are bothered that Serbia has what they describe as sophisticated weapons.” Earlier this week, the United States urged Belgrade to pull its forces back from the border with Kosovo after detecting what it called an “unprecedented” Serbian military build-up. Serbiadeployed sophisticated tanksand artillery on the border after deadly clashes erupted at a monastery in northern Kosovo last week, the White House warned. The European Union also expressed similar concerns. Kosovo’s government on Saturday said it was monitoring the movements of the Serbian military from “three different directions”. It also urged Serbia to immediately pull back its troops and demilitarise the border area. Clashes last week erupted when heavily armed Serb gunmen ambushed a patrol a few miles from the Serbian border,killing a Kosovo police officer. Several dozen assailants then barricaded themselves in an Orthodox monastery, sparking an hour-long firefight in which three gunmen were killed and three were arrested. Kosovo’s government hasaccused Belgradeof backing the operation. Serbia denied Kosovo’s allegations that it trained the group of some 30 men who opened fire on police officers. Kosovo also said it was investigating possible Russian involvement in the violence. Serbia is Russia’s main ally in Europe, and there are fears in the West that Moscow could try to stir trouble in the Balkans to avert attention from the war in Ukraine. The clash was one of the worst since Kosovo broke away from Serbia in a bloody war in 1998-99 and declared independence in 2008, promptingNATOto announce it would beef up a peacekeeping force stationed in the country. Vucic has several times in recent months raised the combat readiness level of Serbian troops on the border with Kosovo. Serbia also has been reinforcing its troops with weapons and other equipment mainly purchased from Russia and China. “We will continue to invest in the defence of our country but Serbia wants peace,” the Serbian leader said on Sunday. “Everything they said they made up and lied, and they knew they were making up and lying.” "
Biden says US ‘will not walk away’ from Ukraine amid bud­get tur­moil,https://www.aljazeera.com/news/2023/10/1/biden-says-us-will-not-walk-away-from-ukraine-amid-budget-turmoil,US pres­i­dent re­as­sures al­lies and Kyiv af­ter last-minute bud­get deal in Con­gress axes fund­ing for the war-torn coun­try.,"United States President Joe Biden says aid to Ukraine will keep flowing for now as he seeks to reassure allies of continued support for the war effort. But time is running out, the president said on Sunday in a warning to Congress, which has voted to avert a government shutdown by passing a short-term funding package that dropped assistance forUkraine in the fight against Russia. “We cannot under any circumstances allow American support for Ukraine to be interrupted,” Biden said. “We have time, not much time and there is an overwhelming sense of urgency,” he said, noting that the funding bill lasts only until mid-November. Biden urged the Congress to negotiate an aid package as soon as possible. “The vast majority of both parties – Democrats and Republicans, Senate and House – support helping Ukraine and the brutal aggression that is being thrust upon them by Russia,” he said in an address from the White House. “Stop playing games. Get this done,” Biden said, adding that he expected Republican House Speaker Kevin McCarthy to secure passage of a separate bill for Ukraine funding soon. “I want to assure our American allies, the American people and the people in Ukraine that you can count on our support. We will not walk away,” he said.  Despite Biden’s attempts to reassure Kyiv, the future of US aid for Ukraine hangs in the balance after a last-gasp deal to avoid a government shutdown. Although the compromise struck in Congress late on Sunday dropped new funding for Ukraine amid opposition from hardline Republicans, it remains unclear what might happen next. Biden and his Democratic party say the US has a duty to help Ukraine stand up to Russian President Vladimir Putin’s invasion, warning that failure to do so could embolden other nations in the future. But the issue has become so politicised in Washington that the fate of vital military aid is now in jeopardy, just as Kyiv tries to make progress in its sluggish counteroffensive before winter sets in. The US has been a major supporter of Ukraine after Russia invaded it last year, and Biden has sought to rally the world, as well as his own country, to maintain that support. Biden assured Ukrainian President Volodymyr Zelenskyy during a visit to Washington last month that strong US support for his war to repel Russian invaders would be maintained despite opposition from some Republican lawmakers. Biden urged Republicans to move ahead quickly to avoid another crisis in November. “The brinkmanship has to end. And there shouldn’t be another … crisis,” he said. “I strongly urge my Republican friends in Congress not to wait. Don’t waste time as you did all summer. Pass a year-long budget agreement. Honour the deal we made a few months ago.” Biden declined to weigh in on whether Democrats should support McCarthy if he needed their votes to keep his job as House speaker. The president said he would leave that to Democratic leaders in the Congress to decide. The US has approved four rounds of aid to Ukraine in response to Russia’s invasion, totaling about $113bn, with some of that money going towards replenishment of US military equipment that was sent to the front lines. In August, Biden called on Congress to provide for an additional $24bn."
Turkey says PKK tar­gets in north Iraq de­stroyed af­ter Ankara sui­cide at­tack,https://www.aljazeera.com/news/2023/10/1/banned-kurdish-group-pkk-claims-responsibility-for-turkey-suicide-attack,"Air strikes in north­ern Iraq de­stroy Kur­dish tar­gets af­ter the bomb­ing in the cap­i­tal, says Turk­ish in­te­ri­or min­istry.","Turkey says its warplanes have carried out raids on Kurdish targets in northern Iraq following a suicide attack on a government building in capital Ankara. A Turkish interior ministry statement on Sunday said some 20 targets of the banned Kurdistan Workers’ Party (PKK) group were “destroyed” in the aerial operation, including caves, shelters and depots. The military ramped up air strikes in Iraq’s PKK bases in Gara, Hakurk, Metina and Qandil, the statement said. The strikes came hours after a suicide bomber detonated an explosive device near an entrance of the interior ministry building in Ankara, injuring two police officers. A second assailant was killed in a shootout with police. A news agency close to the PKK said the group claimed responsibility for thesuicide attack. A statement from the ANF news agency said the PKK planned the bombing to coincide with the opening of the parliament. It said the attack was carried out by “a team of ours linked to our Immortals Battalion” group. The PKK is designated as a terrorist organisation by Turkey, the United States and the European Union. According to the state-run Anadolu Agency, the two attackers had seized the vehicle from a veterinarian in the central province of Kayseri, a city 260km (161 miles) southeast of Ankara. CCTV footage showed a vehicle pulling up to the interior ministry’s main gate and one of its occupants quickly walking towards the building before being engulfed in an explosion, while the other remains on the street. The blast killed one of the attackers and authorities “neutralised”, or killed, the other, the interior minister said of the incident that rattled a central district that is home to ministerial buildings and nearby parliament.  The suicide attack occurred hours before the Turkish parliament was set to reopen after its three-month summer recess with an address by President Recep Tayyip Erdogan, who said the blast was “the latest attempt” to inflict terror on the Turks. “Those who threaten the peace and security of citizens have not achieved their goals and never will,” he said. The PKK and ISIL (ISIS) have carried out such attacks in tourist areas and city centres of Turkey in the past. Al Jazeera’s Sinem Koseoglu, reporting from Istanbul, saidsecurity was tightenedaround the parliament and interior ministry buildings after the attack. “They [authorities] have cleared the area … There is damage on the security entrance of the ministry and workers are trying to fix the damages. There is also a Turkish flag by the gate to express solidarity and the territorial integrity of the country,” she said. The bomb on Ataturk Boulevard was the first in Ankara since March 2016, when 37 people were killed after a bomb-laden car exploded at a crowded central transport hub. Police said they carried out controlled explosions for “suspicious package incidents” in other parts of Ankara. The incident came almost a year after six people were killed and 81 wounded in an explosion in a busy pedestrian street in central Istanbul. Turkey blamed Kurdish fighters for that. During a series of bloody incidents in 2015 and 2016, Kurdish, ISIL and other groups either claimed or were blamed for several attacks in major Turkish cities. Turkey’s parliament is expected to consider ratifying Sweden’s bid to join NATO in the coming weeks after Ankara raised initial objections and delayed the enlargement of the bloc. Erdogan did not mention Sweden or NATO, but told members of parliament that agreeing on a new constitution was a priority for the new session. The parliament speaker said its agenda would not surrender to “terror”. European Council President Charles Michel said he strongly condemned the “terrorist attack”, while EU Commissioner for Enlargement Oliver Varhelyi said the EU supports Turkey “in its fight against terrorism”."
"UN team in Nagorno-Karabakh, a first in 30 years, as eth­nic Ar­me­ni­ans flee",https://www.aljazeera.com/news/2023/10/1/un-team-in-nagorno-karabakh-a-first-in-30-years-as-ethnic-armenians-flee,The vis­it marks the first time in about three decades that the in­ter­na­tion­al body has gained ac­cess to the re­gion.,"A United Nations mission has arrived in Nagorno-Karabakh during a mass exodus of ethnic Armenians from the region after Azerbaijan recaptured the breakaway enclave last month. An Azerbaijani presidency spokesman said the UN mission arrived in the region on Sunday morning, mainly to assess humanitarian needs. The mission, led by a senior UN aid official, is the global body’s first access to the region in about 30 years. Armenia has asked the International Court of Justice (ICJ) to order Azerbaijan to withdraw all its troops from civilian establishments in Nagorno-Karabakh and give the UN access. The ICJ in February ordered Azerbaijan to ensure free movement through an area known as the Lachin Corridor leading to and from the region. The World Health Organization on Sunday said well over 100,000ethnic Armeniansfrom Nagorno-Karabakh had travelled to neighbouring Armenia. Armenian separatists, who had controlled the region for three decades, agreed to disarm, dissolve their government and reintegrate with Baku following aone-day Azerbaijani offensivelast week. The end of Karabakh’s separatist bid dealt a heavy blow to a centuries-old dream by Armenians of reuniting what they say are their ancestral lands, divided among regional powers since the Middle Ages. Nearly all of Karabakh’s estimated 120,000 residents fled the territory over the following days, sparking a refugee crisis. Reporting from the Nagorno-Karabakh city that is called Stepanakert by Armenians and Khankendi by Azerbaijanis, Al Jazeera’s Osama Bin Javaid said tens of thousands of people deserted the area in the past few days in what can only be described as a “mass exodus”.  “Here in the town centre, if I go quiet, you will be able to hear nothing,” he said. “There is absolutely no one who is left here apart from some disabled and elderly.” “A ghost town with no soul,” said Javaid, describing all that has been left behind. The Azerbaijani presidency said Baku’s migration service has begun operating in the city to register Armenian residents to ensure their “sustainable reintegration … into the Azerbaijani society,” promising them the “patronage of the Azerbaijani state”. Nazeli Baghdasaryan, a spokeswoman for the Armenian prime minister, said “100,490 forcefully displaced persons arrived in Armenia” by Sunday morning. Yerevan has accused Baku of “ethnic cleansing” – an allegation Baku has rejected.  Armenia, a country of 2.8 million, faces a major challenge housing the sudden influx of refugees. The International Federation of Red Cross and Red Crescent Societies on Friday announced an emergency appeal for 20 million Swiss francs ($22m) to help those fleeing. Meanwhile, Azerbaijan is holding “reintegration” talks with separatist leaders while also detaining senior figures from its former government and military command. Azerbaijan’s Prosecutor General Kamran Aliyev said criminal investigations had been initiated into war crimes committed by 300 separatist officials. “I urge on those persons to surrender voluntarily,” he told journalists on Sunday. Azerbaijan’s President Ilham Aliyev and Armenia’s Prime Minister Nikol Pashinyan are set to meet on Thursday in the Spanish city of Granada for Western-mediated talks aimed at ending their historic enmity. With the two countries’ relations poisoned by ethnic hatred ensuing from three wars in as many decades, several rounds of negotiations mediated by Brussels and Washington have so far failed to bring about a breakthrough."
How will a pro-Rus­sia par­ty win­ning Slo­va­kia vote af­fect the Ukraine war?,https://www.aljazeera.com/news/2023/10/1/how-will-a-pro-russia-party-winning-slovakia-vote-affect-the-ukraine-war,Ex-PM Robert Fico is set to re­place a tech­no­crat gov­ern­ment that has been back­ing Kyiv against the Russ­ian in­va­sion.,"The leftist-populist party of former Prime Minister Robert Fico has won theparliamentary electionsin Slovakia, running on a campaign with two clear messages: no more military support to Ukraine and no more sanctions against Russia. Fico’s Smer-SD party scored nearly 23 percent of the vote, earning the president’s nod on Sunday to start talks to replace a technocrat government that has been backing Kyiv against Russia’s invasion. The parties likely to join the new coalition are the left-wing Hlas (Voice) party – which won 14.7 percent of the votes – and the ultranationalist Slovak National Party, a clear pro-Russian group, that received 5.6 percent. A liberal, pro-West newcomer, the Progressive Slovakia party was a distant second with 18 percent of the votes. Its leader Michal Simecka, who is the deputy president of the European Parliament, said his party respected the result. “But it’s bad news for Slovakia,” he said. “And it would be even worse if Robert Fico manages to create a government.” Slovakia is a member of the NATO military alliance, which is backing Ukraine against Russian President Vladimir Putin, but many of its people are sympathetic to Moscow’s line that the West wants to annihilate it. Fico, 59, said Slovakia has bigger problems than the Ukraine issue, including energy prices and living costs, but his party would do everything possible to start peace talks. During his campaign, Ficopledged to stopsupporting neighbouring Ukraine in its war against Russia. “We are not changing that we are prepared to help Ukraine in a humanitarian way,” said Fico, whom analysts consider to be inspired by Hungary’s nationalist Prime Minister Viktor Orban who has frequently clashed with the EU. “We are prepared to help with the reconstruction of the state but you know our opinion on arming Ukraine,” he added at a news conference. In the past, Fico had opposed Ukraine’s bid to join NATO, saying it would “mean the beginning of World War III”. “The war in Ukraine didn’t start a year ago, it started in 2014 when Ukrainian Nazis and fascists started murdering Russian citizens in the Donbas and Luhansk,” he had said in August. “We need to tell the whole world: Freedom came from the East, war always comes from the West.” So far, Slovakia – a country 5.5 million people created in 1993 following the breakup of Czechoslovakia – was a staunch supporter of Ukraine. Since the start of the war in February last year, Bratislava opened its borders to the fleeing refugees and was a key logistical hub in NATO’s effort to transport military support to Ukraine. Slovakia – ranked among the top five European donors to Kyiv in terms of its gross domestic product – donated more than half its MiG fighter jets and dozens of infantry vehicles. It was the first EU country to support Kyiv with an antiaircraft missile system, the S-300. “This [military support] comes to an end with the result of the elections,” said Wojciech Przybylski, political analyst and head of Visegrad Insight think tank. “And there will be questions from Ukraine and its Western allies on how much intelligence can be shared with Slovakia without the risk of leaks and of jeopardising transportation routes,” Przybylski said. Such change in Slovakia’s policy, Przybylski added, will have a political impact by breaching what has been so far a united front among European countries in supporting Kyiv.  Fico’s critics worry his return to power could lead Slovakia to abandon course in other ways as well,mostly on the linesof Hungary’s Orban, who has also been an outlier on Ukraine and often spars with the EU over the war. Orban congratulated Fico on Sunday with a post on X social media platform saying: “Guess who’s back!” “Always good to work together with a patriot,” he added. Hungary also has – uniquely among EU countries – maintained close relations with Moscow and argued against supplying arms to Ukraine or providing it with economic aid. Fico, who campaigned strongly against immigration in the run-up to Saturday’s election and criticised a caretaker government for not doing more, said re-starting border controls with Hungary would represent a top priority. “One of the first decisions of the government must be an order renewing border controls with Hungary,” Fico told a news conference. “It will not be a pretty picture,” he said, adding force would be needed on the 655km (407 miles) border. Przybylski said Fico will likely push anti-immigration policies in order to appeal to the working class who perceive migrants as a workforce competition."
At least 13 dead in night­club fire in Spain’s Mur­cia,https://www.aljazeera.com/news/2023/10/1/at-least-13-dead-in-nightclub-fire-in-spains-murcia,Res­cuers search­ing for peo­ple un­ac­count­ed for af­ter blaze hits row of night­clubs pop­u­lar for birth­day cel­e­bra­tions.,"At least 13 people have been killed in a fire in a Spanish nightclub, authorities say, with fears the toll could still rise as rescue workers sift through the debris. The fire ripped through adjoining nightclubs in Murcia in southeast Spain on Sunday, emergency services said, adding that rescuers were still searching for people unaccounted for after the blaze. Emergency services posted on X, the social media platform formerly known as Twitter, that firefighters were continuing to work at the scene and had not ruled out “the possibility of finding more victims”. Jose Ballesta, mayor of Murcia, said the fire had broken out at around 6am local time (04:00 GMT) and was “extremely serious”. Ballesta told reporters at the scene “there are still bodies to be pulled out” from the rubble, which he said was a complicated task given the “risk of collapse”. Diego Seral, of Spain’s National Police, told reporters the dead were found in the Fonda nightclub, one of three adjoining clubs, which had sustained the majority of fire damage, including the collapse of its roof. The collapse was making it hard to locate victims, and it was also difficult to pinpoint yet where exactly the fire started, he said. The identification of the bodies would take time, Seral noted. The cause of the blaze is being investigated. Outside the club, young people hugged, looking shocked as they waited for information. “I think we left 30 seconds to one minute before the alarms went off and all the lights went out [and] the screams saying there was a fire,” said a survivor, who was not identified. “Five family members and two friends are missing.” Photos released by the emergency services show water hoses from fire trucks spraying the blackened facade of the club. Thick smoke could be seen billowing from the roof of the building. Authorities said four people were injured: two women aged 22 and 25, and two men in their 40s, all suffering from smoke inhalation. A spokesperson for the Teatre nightclub, Maria Dolores Albellan, told reporters the fire originated in the neighbouring club, Fonda, before spreading to the two adjoining clubs. Spanish media reported several birthday celebrations were taking place at the time. Ballesta declared three days of mourning in the city to remember those who died. Flags were lowered to half-mast outside Murcia’s City Hall. Prime Minister Pedro Sanchez voiced “solidarity with the victims and relatives of the tragic fire in a Murcia nightclub”. Forty people were injured in 2017 in a packed nightclub on Spain’s holiday island of Tenerife when a floor collapsed. In 1990, 43 people died in a fire at a nightclub in Spain’s northeastern city of Zaragoza."
Afghanistan clos­es em­bassy in In­dia cit­ing lack of diplo­mat­ic sup­port,https://www.aljazeera.com/news/2023/10/1/afghanistan-embassy-closes-in-india-citing-lack-of-diplomatic-support,"The move comes due to lack of sup­port from In­dia and in­creas­ing­ly chal­leng­ing con­di­tions to op­er­ate, the em­bassy says.","The embassy of Afghanistan in India, which owed its allegiance to the former West-backed government, has announced its closure, saying it would cease operations starting from October 1. The Afghan embassy’s statement on Saturday said it wanted to reach an agreement with the Indian government to ensure that the interests of Afghans living, working, studying and doing business in India are safeguarded. Afghans account for around one-third of the nearly 40,000 refugees registered in India, according to the United Nations’ refugee agency. But that figure excludes those who are not registered with the UN. “There has been a significant reduction in both personnel and resources available to us, making it increasingly challenging to continue operations,” the statement said. The closure comes more than two years after the Taliban government stormed back to power triggering the collapse of the government of President Ashraf Ghani in the wake of the US withdrawing its troops after 20 years of war and occupation. “It is with profound sadness, regret, and disappointment that the Embassy of Afghanistan in New Delhi announces this decision to cease its operations,” the embassy said. The decision was taken due to lack of “crucial support” from India which has hampered the embassy’s capacity to carry out the embassy’s duties, read the statement. There were also shortcomings in meeting the expectations to best serve Afghani citizens due to “the absence of a legitimate functioning government in Kabul”, read the statement, referring to the Taliban administration. The closure follows reports that the ambassador and other senior diplomats had left India in recent months, with infighting among those remaining in New Delhi. But the embassy rejected speculations regarding internal infighting among its staff, stressing that these were “unfounded” rumours. India will take control of the embassy in a caretaker capacity, it said. At the time of publication, India’s foreign ministry did not issue any statement in response to the announcement.  No country officially recognises Afghanistan’s new government, but acknowledge the Taliban as the de facto ruling authority. This has left many Afghan embassies and consulates in limbo, with diplomats appointed by the former government refusing to cede control of embassy buildings and property to representatives chosen by the Taliban authorities. India has not recognised the Taliban government, which seized power in Afghanistan in August 2021. It evacuated its own staff from Kabul ahead of the US withdrawal from Afghanistan two years ago and no longer has a diplomatic presence there. Yet, New Delhi iskeen to retain tieswith the country where its regional rival Pakistan wields considerable influence. Indian envoys havepreviously metTaliban representatives in Doha, the capital of Qatar, where the group has an office. Last year, India sent relief materials, including wheat, medicine, COVID-19 vaccines and winter clothes to Afghanistan to help with shortages there. In June last year, India sent a team of officials to its embassy in Kabul. Before the Taliban took control, India provided Afghan security forces with training and military equipment but had no troops on the ground. It was also the region’s largest provider of development aid to Afghanistan."
Pho­tos: Turkey’s cap­i­tal hit by sui­cide blast,https://www.aljazeera.com/gallery/2023/10/1/turkeys-ankara-hit-by-suicide-blast,"Sui­cide blast took place near par­lia­ment in Ankara leav­ing two po­lice of­fi­cers in­jured, the in­te­ri­or min­istry says.",
"Un­leash bowlers, scrap um­pire’s call: Rules crick­et needs to change",https://www.aljazeera.com/sports/2023/10/1/five-rules-cricket-needs-to-change,"Free hits, um­pire’s calls and over lim­its are among five rules Al Jazeera thinks should be done away with in crick­et.","Twelve months ago, the Marylebone Cricket Club (MCC), guardians of the laws of cricket, brought new laws into the sport while tweaking some existing ones. From replacement players and dead balls to banning non-striker runouts and the application of saliva on the ball, cricket underwent significant changes. But there’s always room for more. Here are five more rules that Al Jazeera thinks cricket needs to change. Cricket is a batters’ game, regardless of what format it is being played in or the status of the match in question. The crowd’s love for boundaries, high scores and seeing the ball in the stands has often been touted as the reason behind authorities tilting it in the favour of batters. A batter often gets away with mistakes – a dropped catch, an edge dropping short, hit-and-miss. However, there are penalties aplenty for a bowler, including when they overstep, resulting in not only an extra run and the batter not being given out but also a free hit that follows. If a batter is allowed to get away with an error, there is no need for an extra penalty for the bowler after a little stretch of the foot. We’ve established it’s a batters’ game; from limiting the number of bouncers in an over and the number of new balls from both ends in ODIs, to imposing fielding restrictions and over limits for bowlers. So why is a batter allowed a second chance to stop the ball from hitting the stumps after there has been an attempt to play it and it comes off the bat or ricochets off the body towards the stumps? Since a batter is penalised for obstructing or impeding a throw, why is a likely wicket-taking opportunity denied in this way? The fact that the ball is stumps-bound means the bowler has clearly done something right. Lay down the Eminem rule: You only get one shot, do not miss your chance to blow … Let’s talk about over limits in detail. Why do we have them? Batters, if they’re good enough, can go on for 20 or 50 overs (depending on the format) to show their worth and stack up records. Bowlers can’t. While watching Rohit Sharma or Ben Stokes make it rain sixes for the majority of the innings is immensely rewarding for cricket lovers, the same opportunities should be offered to Rashid Khan’s wizardry or Shaheen Shah Afridi’s curlers. If the batters aren’t forced to return to the dressing room, why are the bowlers confined to the boundary when they could conjure up as much magic and excitement as the batters? An aerial shot heads for the crowd. The fielder times a jump perfectly, pushing the ball in the air and back into the direction it came from. They jump back into the field of play to complete a catch or throw it back to teammates if a catch is not possible – either way, a four or six has been prevented. The agility, presence of mind and athleticism are commendable, but that should have been a boundary. The batter should not be penalised for the ball not touching the ground (or the advertising boards) after crossing the boundary. Cricket should follow football’s example, where a goal is given when the whole ball crosses the line. A review is taken and all eyes are on the big screen. Ball tracking shows the ball hitting the stumps. But is it out or not out? Well, that depends on what the on-field umpire said in the first place; the umpire’s original judgement can overrule the judgement of the technology, for example, a “not out” in a situation in which the ball is shown clipping the stumps in an LBW. Former head of the ICC Cricket Committee, Anil Kumble, has said that it’s “important” the umpire’s call remains part of the review system. “The principle underpinning DRS [Decision Review System] was to correct clear errors in the game whilst ensuring the role of the umpire as the decision-maker on the field of play was preserved, bearing in mind the element of prediction involved with the technology,” Kumble said. “Umpire’s call allows that to happen, which is why it is important it remains.” But the soft signal – whereby on-field umpires indicated an unofficial verdict on a potential wicket while sending a review to the TV wicket – has been taken out of the game. So the umpire’s call can easily follow suit."
