title,link,description,content
"Trump and ‘MAGA Re­pub­li­can ex­trem­ists’ threat­en US democ­ra­cy, Biden says",https://www.aljazeera.com/news/2023/9/28/trump-and-maga-republican-extremists-threaten-us-democracy-biden-says,"Biden has un­der­scored the risk to democ­ra­cy in a speech ded­i­cat­ed to his late Re­pub­li­can coun­ter­part, John Mc­Cain.","United States President Joe Biden has lashed out at his Republican rival Donald Trump, saying the former president’s Make America Great Again (MAGA) following is an “extremist movement that does not share the basic beliefs in our democracy”. During an event to honour late Senator John McCain in Tempe, Arizona, on Thursday, Biden said that, while not all Republicans adhere to the movement, the party is currently “driven and intimidated by MAGA Republican extremists”. “Their extreme agenda, if carried out, will fundamentally alter the institutions of American democracy as we know it,” he said. Biden has made protecting democracy and state institutions a key plank in his 2024 re-election bid as the country’s election race picks up steam. In doing so, the Democratic president hopes to strike a contrast with Trump, his Republican predecessor. During his speech, Biden made scarce mention of Trump, who is currently the clear frontrunner for the Republican Party’s 2024 nomination. But Trump loomed large throughout the remarks, and Biden referenced Trump’s attempts to overturn the 2020 presidential election, both directly and indirectly. “Democracy means rule of the people. Not rule of monarchs, not rule of the money, not rule of the mighty,” Biden told the audience at the Tempe Center for the Arts. “Regardless of party, that means respecting free and fair elections. Accepting the outcome, win or lose.” Trump has long maintained, without evidence, that the 2020 election was “stolen” from him through voter fraud. He currently faces four criminal indictments, two of which pertain to his efforts to reverse his 2020 loss to Biden. Trump has denied wrongdoing in all four cases. Biden also alluded to the rising political violence in the country, a phenomenon that has come to be typified by the deadly attack on the US Capitol on January 6, 2021. During that attack, thousands of Trump supporters converged on the Capitol, attacking law enforcement and breaking into the building in an attempt to halt the certification of 2020 election results. An estimated1,146participants have been arrested in the years since, with 657 pleading guilty to federal charges.  Trump has been criticised for inaction during the January 6 attack, ignoring calls to intervene. Eventually, after hours of violence, he released a Twitter video calling for the rioters to leave the Capitol, though he reiterated his false claim of election fraud. “Go home. We love you. You’re very special,” Trump told the rioters in the video. “I know how you feel.” Biden appeared to take aim at those kinds of remarks in Thursday’s address. “Democracy means rejecting and repudiating political violence. Regardless of party, such violence is never, never, never acceptable in America. It’s undemocratic, and it must never be normalised to advance political power,” he said. Biden also accused Trump and his allies of leading with “vengeance and vindictiveness”, stretching the bounds of the US Constitution to further political aims. He said “extremists” in the Republican Party are “pushing a notion the defeated former president expressed when he was in office”.  That notion, Biden continued, is that the president “is above the law, no limits on power”. “Trump says the constitution gave him, quote, the right to do whatever he wants as president, end of quote,” Biden continued. “I’ve never heard a president say that in jest.”  As the Republican Party lurches rightward, Biden made an appeal to the political centre with his speech, playing up his across-the-aisle friendship with the late McCain, a Vietnam War veteran and Republican. “We’re like two brothers. We’d argue like hell,” Biden said, reprising a theme he has spoken to in the past. “I mean, really go at each other. And then we’d go to lunch together.” Trump has previously issued controversial remarks about McCain, questioning whether the late senator could be a “hero” if he was a prisoner of war: “I like people who weren’t captured, okay?” Arizona, formerly a Republican stronghold, has increasingly become a key swing state. In 2016, Trump won Arizona. In 2020, Biden did, turning the state blue for the first time since the 1990s. Al Jazeera’s John Hendren said that Arizona will be crucial in the likely rematch between Biden and Trump in 2024. “There are three states that most analysts say the Republicans have to win,” Hendren explained from Tempe. “They say the Republicans have to win Georgia, Wisconsin and Arizona.” Hendren also highlighted the fact that Biden’s speech takes place against the ongoing debate over federal spending — and a fast-approaching September 30 deadline to pass budget legislation. If Congress fails to pass a budget bill, all non-essential government functions are slated to shut down, with federal programmes and employee paychecks suspended. “As he spoke, the government faces a looming shutdown led by MAGA extremists in the Republican Party,” Hendren explained. Biden, he added, was asking the nation, “What do we want to be?” “You can see this is a shot across the bow of Donald Trump, and it is the clarion call of Biden’s campaign in the coming year,” Hendren said."
East Libya com­man­der Haf­tar in Moscow for talks with Putin,https://www.aljazeera.com/news/2023/9/28/east-libya-commander-haftar-in-moscow-for-talks-with-putin,"Krem­lin spokesper­son con­firms meet­ing, say­ing the two men dis­cussed the sit­u­a­tion in Libya and wider re­gion.","Renegade general Khalifa Haftar, whose forces dominate eastern Libya, has held talks with Russian President Vladimir Putin in Moscow, his forces and the Kremlin said. Haftar, who sponsors a rival administration to Libya’s UN-backed government in Tripoli, has long cultivated close relations with Moscow and relies heavily onRussian mercenary group Wagnerfor military support. Haftar “held talks with Russian President Vladimir Putin and Defence Minister Sergei Shoigu”, his Libyan Arab Armed Forces said on its official Facebook page without giving further details. Kremlin spokesperson Dmitry Peskov confirmed Haftar’s meeting with Putin. “They discussed the situation in Libya and the region as a whole,” he said in comments reported by Russia’s state news agency TASS. It was the first meeting between the two men since 2019, according to Libyan media. The eastern strongman, who arrived in Moscow on Tuesday, had already held talks with Russian Deputy Defence Minister Yunus-Bek Yevkurov during his visit. Yevkurov has been a regular visitor to eastern Libya in recent years, most recently on September 17 when he met Haftar a few days after thehuge flash floodwhich swept away much of the coastal city of Derna, killing thousands of people and leaving thousands more missing. Haftar’s abortive 2019 assault on the seat of the UN-backed government in Tripoli relied heavily on Wagner mercenaries but failed to overcome its Turkish-backed armed forces. Since an October 2020 ceasefire brought the offensive to an end, Wagner has redeployed some of its personnel to Mali and Ukraine. But despite repeated United Nations Security Council resolutions calling for the withdrawal of all foreign military forces from Libya, hundreds of Wagner personnel remain stationed in the east as well as in areas of the desert south under Haftar’s control. Russia has long sought to boost its influence in Africa, a policy that has loomed ever larger since the launch of its war on Ukraine early last year left it saddled with European Union and United States sanctions and increasingly isolated on the international stage. "
"Be­larus says Pol­ish he­li­copter vi­o­lat­ed air­space, War­saw de­nies",https://www.aljazeera.com/news/2023/9/28/belarus-says-polish-helicopter-violated-airspace-warsaw-denies,Be­larus has re­peat­ed­ly ac­cused the EU mem­ber of breach­ing its air­space. War­saw de­nies the claims.,"Belarus has claimed that a Polish helicopter had violated its airspace as tensions are high between the two countries amid the conflict in Ukraine. “Around 1520 (1220 GMT), the aircraft crossed the border of the Republic of Belarus, flew to a depth of up to 1.5 km. At 1622, the helicopter repeatedly violated the state border, going 300 metres deep,” the Ministry of Defence of Belarus said on Thursday on its Telegram channel. Belarus,Russia’s closest ally, said it had scrambled military aircraft in response. The Polish army said the Belarusian claim was “false”. “Records made by flight control stations and radar stations confirm: such an event did not take place,” the army’s operational command said in a statement. “The Polish army respects and follows all provisions and regulations relating to the inviolability of borders.” Belarus has repeatedly accused the EU member of breaching its airspace. Warsaw has denied the claims. Belarus’s foreign ministry said it had summoned the Polish charge d’affaires, Marcin Wojciechowski, to protest. According to the ministry, Minsk has demanded Warsaw conduct “an objective investigation into the incident” and take measures to prevent such incidents in the future. Last week, the Kremlin said that Moscow and its ally Belarus were “watching” Poland closely, calling it a “rather aggressive” country."
"Pho­tos: In Brazil’s Ama­zon, drought af­fects ac­cess to food and wa­ter",https://www.aljazeera.com/gallery/2023/9/28/photos-amazon-rainforest-faces-a-severe-drought-affecting-thousands,"With riv­er lev­els drop­ping, wa­ter trans­porta­tion has stalled and hun­dreds of dead fish are con­t­a­m­i­nat­ing drink­ing wa­ter.",
Blinken meet­ing In­di­an coun­ter­part amid fall­out over Sikh leader’s killing,https://www.aljazeera.com/news/2023/9/28/blinken-meeting-indian-counterpart-amid-fallout-over-sikh-leaders-killing,Cana­da PM says he re­ceived as­sur­ances that US will raise Hard­eep Singh Ni­j­jar’s killing with In­di­an for­eign min­is­ter.,"US Secretary of State Antony Blinken is meeting with his Indian counterpart in Washington, DC, as the United States has urged India to cooperate withCanada’s investigationinto the killing of a prominent Sikh Canadian leader. At the start of talks with Blinken on Thursday afternoon, Subrahmanyam Jaishankar said it was “good to be back” in the US capital and thanked Washington for its support at the recent G20summitin New Delhi. Jaishankar also met US National Security Adviser Jake Sullivan earlier in the day, writing on social media that the pair “recognized the tremendous progress in our bilateral relationship this year and discussed taking it forward”. But Jaishankar’s trip comes as India faces growing international scrutiny after Canadian Prime Minister Justin Trudeausaid last weekthat Ottawa was investigating “credible allegations of a potential link” between India and the killing of Sikh leader Hardeep Singh Nijjar. On Thursday, State Department spokesman Matthew Miller declined to preview the meeting between Blinken and Jaishankar, but said Washington has urged New Delhi to cooperate with the probe. Miller added that those efforts will continue. However, Trudeau told reporters on Thursday afternoon that he had received assurances from US officials that Blinken will raisethe Canadian allegationswith Jaishankar. “The Americans have been with us in speaking to the Indian government about how important it is that they be involved in following up on the credible allegations that agents of the Indian government killed a Canadian citizen on Canadian soil,” the prime minister said.  Nijjar, who wasfatally shotoutside a Sikh temple in the province of British Columbia in June, was a vocal supporter of a Sikh separatist movement in India and had been previously labelled a “terrorist” by New Delhi. Blinken has previously said the administration of US President Joe Biden is “deeply concerned” by Canada’s allegations, and that Washington is coordinating with Ottawa on the issue. Last week, the US secretary of state also said it was “critical that the Canadian investigation proceed, and it would be important that India work with the Canadians”. India has roundly rejected the accusations it was involved in Nijjar’s killing as “absurd” and politically motivated. New Delhi also has accused Ottawa of harbouring Sikh “terrorists and extremists”. Indian officials have long framed the decades-long Sikh separatist movement, known as theKhalistan movement, as a pressing threat to national security. Most recently, Jaishankar, whenasked about the allegationsat a Council on Foreign Relations event in New York on Tuesday, said India had told Canada it would look into any “specific” details it provides on the killing of Nijjar. Miller at the US State Department also told reporters on Wednesday that Blinken did not raise the issue with Jaishankar during a meeting of the Quad grouping – which includes the US, India, Australia and Japan – in New York last week. Canada’s allegations have left the US in an uncomfortable position as it seeks to court India amid a wider effort to counter China’s growing influence in the Asia-Pacific region. Biden welcomedIndian Prime Minister Narendra Modi to the White House for an official state visit in June, despite condemnation from rights observers over the Indian government’s treatment of minorities and the erosion of democratic norms in the country. On Thursday, Trudeau also referenced India’s rising global influence and said the US and other Western allies should continue to engage with New Delhi.  “India is a growing economic power and important geopolitical player, and as we’ve presented with our Indo-Pacific strategy just last year, we’re very serious about building closer ties with India,” he said. “At the same time, obviously, as a rule of law country, we need to emphasise that India needs to work with Canada to ensure that we get the full facts of this matter,” added Trudeau, referring to Nijjar’s killing. Further complicating the US-India relationship have been reports that Washington worked closely with Ottawa on the intelligence that informed Trudeau’s allegations of a possible link between the killing and Indian government agents. The Financial Times also reported that Biden had raised concerns about the matter during a meeting with Modi at the G20 Summit in New Delhi in early September. Meanwhile, Sikh American community leader Pritpal Singh,in a letterto US legislators on the American Sikh Congressional Caucus last week, highlighted what he called “growing evidence of India’s transnational repression against Sikh Americans”. Singh also recently told The Intercept news website that he had been personally notified by the FBI of a credible threat on his life. In his letter, he called on US legislators to launch an investigation into threats received by Sikh activists and to express deep concern to the Indian government. US Representative Eric Swalwell, a member of the American Sikh Congressional Caucus, said on Monday that he was “concerned by reports that India’s government is targeting Sikh activists abroad”. “I will work with local & federal government officials to ensure necessary actions are undertaken to protect the Sikh community,” Swalwell wrote on social media. "
US Visa Waiv­er Pro­gram: Why Arab Amer­i­cans an­gered by Is­rael’s ad­mis­sion,https://www.aljazeera.com/news/2023/9/28/us-visa-waiver-program-why-arab-americans-angered-by-israels-admission,Ad­vo­cates say US gov­ern­ment is turn­ing blind eye to vi­o­la­tions against its own cit­i­zens’ rights to give perk to Is­rael.,"Washington, DC –The Biden administration’s decision to allow Israelis totravel visa-freeto the United States has drawn the ire of Arab Americans who say the move represents tacit approval of Israeli discrimination against US Palestinian and Arab travellers. The US admitted Israel on Wednesday into the selective Visa Waiver Program (VWP), hailing the relationship between the two top allies. The VWP requires admitted nations to abide by what’s known as “reciprocity”. This means that countries whose nationals are allowed to travel to the US without visas must, in turn, not discriminate or deny entry to American citizens without credible cause. In this case, however, Palestinian rights supporters say the US will allow Israel’s citizens to enter the country without a visa while the Israeli governmentdetains, questionsand turns back American travellers. Activists argued that by adding Israel to the VWP, the US was overlooking well-documented Israeli discrimination against Americans of Arab and Palestinian descent, as well as supporters of Palestinian human rights more broadly. For example, Israeldid not allowUS Congresswomen Ilhan Omar and Rashida Tlaib to visit the country and the occupied Palestinian territories in 2019, citing “their boycott activities against Israel”. James Zogby, president of the Arab American Institute, a Washington, DC-based think tank, said the US is deprioritising the rights of its own citizens. “This was about us. It was about Arab Americans and our rights,” said Zogby. “I feel betrayed by my government because they knowingly threw us under the bus.”  US officials have often stressed that “blue is blue”, referring to the colour of the American passport and the privileges it entails. Reciprocity is a key element of US travel policies; Washington even imposes visa fees on citizens of countries that charge American citizens for visas. In a statement on Wednesday, Washington said Israel had met the reciprocity requirement. “Israel made updates to its entry policies to meet the VWP requirement to extend reciprocal privileges to all US citizens without regard to national origin, religion, or ethnicity,” US government agencies said. But activists say Israel was handed the perks of the VWP in disregard of its mistreatment of American citizens and in violation of US laws. For example, Americans residing in Gaza will still need a special permit from the Israeli authorities to leave the besieged territory – an arrangement that does not exist for any other country in the programme. Pressed on the issue on Wednesday, Department of State spokespersonMatthew Milleracknowledged that there “are different procedures” for Gaza, saying that the territory is controlled by a “foreign terrorist organisation”, referring to the Palestinian movement Hamas. But he insisted that Israel still meets the reciprocity requirement. Further angering many Arab Americans is the fact that Biden administration officials did not merely accept Israel into the programme. They actively and publicly pushed for its inclusion in a campaign largely led by Thomas Nides, Washington’s former envoy to Israel, who frequently posted about the effort onsocial mediaover the past two years. Moreover, activists said that the VWP inclusion handed a political victory to one of the most right-wing governments in Israeli history under Prime Minister Benjamin Netanyahu. Zogby said US President Joe Biden’s pushto heap rewardson Israel is difficult to understand. “I’m insulted, and I’m angry,” he added. He told Al Jazeera that he has himself been held and questioned for hours at Israeli checkpoints, even when accompanying American officials in the region.  “They have no respect for us,” Zogby said of Israel. “And now our own government says in effect they don’t respect us. That’s the problem.” Israel’s entry into the VWP also came amid growing concerns about the safety of US citizens in Israel and the occupied Palestinian territories and themuted responsefrom Washington to abuses against them. Israeli forces killed two US citizens last year: renowned Al Jazeera journalistShireen Abu Aklehand an elderly Palestinian-American man,Omar Assad. Here’s how other Arab Americans, Palestinian rights advocates and US lawmakers responded to the decision to add Israel to the VWP this week: “This decision enables further racist practices and violence towards Americans including the murder ofShireen Abu Akleh. The United States has yet to hold the Israeli government accountable. “The Visa Waiver Program requires that all US citizens are treated equally. I have received consistent reports of discrimination of Americans attempting to enter Israel.” “The Biden Administration’s designation of Israel to be admitted into the Visa Waiver Program is a heinous lapse of oversight that relegates US law below Israeli law and exchanges the rights of US citizens for closer ties with an apartheid state that arms authoritarian governments abroad.” “By admitting Israel to the Visa Waiver Program, the United States is essentially condoning Israel’s apartheid regime over Palestinians by signing off on Israel’s discrimination against Palestinian American citizens.” “Separate can never be equal, as was determined decades ago in the fightfor civil rightsin this country. “Forty countries participate in the VWP, and none have formal arrangements to discriminate against American citizens; only Israel has demanded and been granted this unconscionable favor by the US government.”  “To date, Israel has failed to meet the ‘Blue is Blue’ requirement. “Adherence to this important American tenet of reciprocity and equal treatment of all US citizens is critical to the integrity of the Visa Waiver Program, and we are deeply concerned with the Administration’s decision to move forward in violation of that principle.” “Once again, the US is singling out Israel for special and exceptionalized treatment at the expense of the rights of Palestinian Americans.” “Israel’s discrimination is especially egregious against Palestinian Americans with ties to Gaza, making reunification of families torn apart by Israel’s siege and blockade of Gaza near impossible.Apartheid isnot only Israeli policy, it is US policy too.”"
"Chi­na Ever­grande’s founder un­der in­ves­ti­ga­tion, shares halt­ed",https://www.aljazeera.com/economy/2023/9/28/china-evergrandes-founder-under-investigation-shares-halted,World’s most in­debt­ed prop­er­ty de­vel­op­er did not say what were the ‘il­le­gal crimes’ for which he was be­ing in­ves­ti­gat­ed.,"China Evergrande Group’s founder is being investigated over suspected “illegal crimes”, the embattled developer said on Thursday, as creditors become increasingly concerned about the group’s prospects amid an uncertain debt revamp plan and liquidation risk. The world’s most indebted property developerwith more than $300bn in total liabilities did not say whether Hui Ka Yan was still in a position to run the company, or what crimes he is being investigated for. Trading in shares of the company was suspended earlier in the day after a report that its chairman had been placed under police watch. Evergrande said the shares will remain suspended until further notice. “The Company hereby announces that the Company has received notification from relevant authorities that Mr. Hui Ka Yan … has been subject to mandatory measures in accordance with the law due to suspicion of illegal crimes,” Evergrande said. The news signalled for the first time that authorities could hold the billionaire Evergrande founder accountable for the developer’s financialwoes, which have ripped through the property sectorthat accounts for roughly a quarter of the Chinese economy. Deepening turmoil in China’s debt-laden property sector is threatening to undermine Beijing’s efforts to get the sputtering economy back on more solid footing, and raising fears among investors of a spillover into the country’s banking system. The latest development is a major blow to China’s once top-selling developer that has lurched from one crisis to another since its cash squeeze became public in 2021 and it defaulted on its offshore debt obligations later that year. “It is unclear why Hui is under police surveillance, but it may signal certain negotiations demanded from the government. The latest development has disrupted the hope of restructuring,” said Gary Ng, Asia Pacific senior economist at Natixis. “No developer is too big to fail in China, and therefore it is hard to imagine a full bailout. Still, when it comes to stability, it is possible to see more government influence in different ways,” Ng added. Evergrande has been working to get creditors’ approval for restructuring its offshore debt. The process got complicated this week after Evergrande said it was unable to issue new debt due to an investigation into its main China unit. The offshore debt restructuring plan now looks set to falter and the risks of the company being liquidated are rising, some analysts said. Reuters reported on Tuesday that a major Evergrande offshore creditor group was planning to join a liquidation court petition filed against the developer if it does not submit a new debt revamp plan by the end of October. Evergrande’s problems have raised the prospect of an intervention by the Chinese authorities to manage any possible impact on the financial system and the broader economy, analysts said. “They’ve managed to avoid the ‘bottom line’ of preventing a systemic crisis caused by one of the developers so far, and will almost certainly intervene further if Evergrande’s situation appears likely to lead to contagion,” said Christopher Beddor, deputy director of China research at Gavekal Dragonomics. “But apart from that, their approach … has often seemed conflicted and at times incoherent, and that continues today.” Chinese media outlet Yicai, citing sources, said some other Evergrande executives were also being investigated. Evergrande did not immediately respond to a Reuters request for comment outside Asia business hours. The investigation into Hui, who founded Evergrande in 1996, is a remarkable fall from grace for the 64-year-old former steel technician, who just two years ago moved in power circles and exuded confidence about his business. “At least it shows that the recent series of turmoil in Evergrande is not groundless,” said Yan Yuejin, an analyst at the E-house China Research and Development Institution in Shanghai. “We believe that Evergrande’s debt turmoil has had a great turmoil and negative impact on the global economy, and the things behind it are not simple.” Evergrande’s latest woes come against the backdrop of Beijing rolling out a host of measures in the last few weeks, including cutting existing mortgage rates, to revive the battered property sector. On Thursday, the finance ministry said China would exempt urban land used for affordable housing projects from taxes, starting in October. Buyers of such housing, and housing management firms, will also be exempt from stamp duties, the ministry said. The recent regulatory easing may stabilize the housing market in the world’s second-largest economy to some extent, analysts said, however, the appetite for buying property remains subdued in the weak economy. “Still, the overhang of housing inventories in lower-tier cities facing population decline will persist for several years,” Saxo Greater China Market strategist Redmond Wong wrote in a research note. “This will lead to more headlines about defaults, restructuring, and liquidation of insolvent developers, causing losses for shareholders, bondholders, banks, and investors in trust and wealth management products tied to property projects.”"
Bankman-Fried may face ‘very long sen­tence’ if con­vict­ed: Judge,https://www.aljazeera.com/economy/2023/9/28/bankman-fried-may-face-very-long-sentence-if-convicted-judge,The judge’s com­ments came just be­fore he de­nied Bankman-Fried’s re­quest to be re­leased from jail to pre­pare for tri­al.,"Sam Bankman-Fried, the indicted founder of now-bankrupt cryptocurrency exchange FTX, may face a “very long sentence” if convicted at his fraud trial starting next week, the judge overseeing the case said on Thursday. United States District Judge Lewis Kaplan’s comments came just before he denied the 31-year-old former billionaire’s request to be released from jail temporarily during the trial to better help his lawyers mount his defense case. Kaplan said Bankman-Fried was a flight risk. “Your client in the event of conviction could be looking at a very long sentence,” Kaplan said in a hearing in Manhattan federal court. “If things begin to look bleak … maybe the time would come when he would seek to flee.” Mark Cohen, Bankman-Fried’s lawyer, said there was “nothing in the record” to suggest that his client would try to flee. He said Bankman-Fried had voluntarily consented to extradition from the Bahamas – where FTX was based – to the US after his December 2022 arrest. Bankman-Fried has pleaded not guilty to seven counts of fraud and conspiracy stemming from FTX’s collapse in November 2022. He faces a statutory maximum of 110 years in prison, though any sentence would be determined by Kaplan based on a range of factors and he would likely get far less. His lawyers asked Kaplan for temporary release earlier this week, arguing they could not speak with him after each trial day to prepare for the next day’s witnesses and testimony, which they could not do if he were taken back to theMetropolitan Detention Centerin Brooklyn at the end of each trial day. Kaplan said on Thursday he was sympathetic to the defense’s concerns and would arrange for Bankman-Fried to arrive at court at 7am on most trial days to speak with his lawyers for several hours before testimony begins. Prosecutors say Bankman-Fried stole billions of dollars in FTX customer deposits to plug losses at Alameda Research, a crypto-focused hedge fund he controlled. They opposed Bankman-Fried’s request for temporary release. On Thursday, prosecutor Danielle Kudla told Kaplan that Bankman-Fried had “ample opportunity to prepare for trial” during the seven and a half months he was free on bail at his home in Palo Alto, California. Kaplan jailed him on August 11 after finding he likelytampered with witnessesat least twice – including by sharing former Alameda chief executive officer Caroline Ellison’s private writings with a New York Times reporter. Ellison, also Bankman-Fried’s former romantic partner, is one of three former members of his inner circle who have pleaded guilty to fraud and are set to testify against him. Former FTX executives Gary Wang and Nishad Singh have also agreed to testify. Kaplan said on Thursday that prosecutors had requested that he grant two additional witnesses immunity from being charged with crimes in exchange for their testimony. He did not identify those witnesses. The trial starts on October 3 and could last up to six weeks."
"Thai po­lice seize $8.15m worth metham­phet­a­mine pills, oth­er drugs",https://www.aljazeera.com/news/2023/9/28/thai-police-seizes-8-15-million-worth-methamphetamine-pills-and-other-drug,Myan­mar also says it seized al­most half a tonne of crys­tal meth worth more than $4m.,"Thai police seized more than 15 million methamphetamine pills and other illegal substances worth 300 million baht ($8.15m) in what authorities said was one of the largest drug hauls so far this year. Four people were arrested on Thursday in connection with the bust, which included 420kg (926 pounds) of crystal methamphetamine, as well as heroin, at a home in Nakhon Pathom province, north of the capital Bangkok. “This is one of the largest drug storage facilities in the middle of Thailand, in a community area,” Justice Minister Tawee Sodsong told reporters. Incoming police chief General Torsak Sukvimol said the overall street value of the bust was 300 million baht, adding that the drugs were produced in a neighbouring country. Trafficking of synthetic drugs in East and Southeast Asia is surging, the United Nations said in a report earlier this year, with high volumes of methamphetamine still being produced from the Golden Triangle region where the borders of Myanmar, Thailand and Laos meet. The region has a long history of illicit drug production and has recently served as an enormous production centre for amphetamine-type stimulants, especially methamphetamine, used by Asian crime syndicates with distribution networks reaching as far as Japan and New Zealand. Also on Thursday, Myanmar authorities said they had seized almost half a tonne of crystal meth worth more than $4m. Security forces stopped a motorcycle and van in a forest in the northern Mandalay region during the early hours of Sunday, Myanmar’s Central Committee on Drug Abuse Control said in a statement. “The search brought the seizure of 435 kg of crystal meth (ICE) with a local value of 8.7 billion kyats” ($4.14m) the statement said. It said the drugs were being transported from Myanmar’s Shan state – Southeast Asia’s primary source of meth, according to the UN – and authorities were conducting further investigations. Analysts have said that the military, which removed an elected government and seized power in 2021, is not serious about ending the lucrative trade. Earlier this year, in a rare admission, the head of Myanmar’s CCDAC said its efforts to crush the multibillion-dollar tradewere having no impact. "
Stu­dent gun­man kills three in Rot­ter­dam uni­ver­si­ty shoot­ing,https://www.aljazeera.com/news/2023/9/28/rotterdam-shootings-lead-to-multiple-deaths-arrest-dutch-police,"An un­known per­son wear­ing com­bat cloth­ing shot at peo­ple first in an apart­ment and af­ter in a hos­pi­tal, po­lice said.","Dutch police said a gunman killed a teacher, a local woman and her daughter after opening fire in a classroom at a university hospital campus in Rotterdam and a nearby house on Thursday. The 32-year-old suspect, a university student, fatally shot a 39-year-old woman living in his neighbourhood and seriously injured her 14-year-old daughter, police said in a televised news conference. The girl later died as a result of her injuries. After setting the woman’s house on fire, the gunman went to the university hospital, Erasmus Medical Center, where he entered a classroom and shot dead a 46-year-old teacher. The man was arrested near the hospital, where he also set a fire. His motive was unknown. “We have been shocked by a horrible incident. Shots were fired in two different places in the city. Many people witnessed it,” Rotterdam Mayor Ahmed Aboutaleb said. “Emotions in the city are very high. My condolences go out to the victims.” “The suspect was known to law enforcement and in 2021, he was prosecuted and convicted for animal abuse,” said Hugo Hillenaar, Rotterdam’s chief prosecutor. Videos posted online showed police instructing students, some wearing medical gowns, to run outside as heavily armed arrest teams arrived at the scene. One video showed a man in handcuffs wearing what appeared to be camouflage pants. Police said there were no indications of a second shooter."
